SUBSTATION_NUMBER,TRANSFORMER_TYPE,TOTAL_CUSTOMERS,Transformer_RATING,Percentage_IC,LV_FEEDER_COUNT,GRID_REFERENCE
511016,Grd Mtd Dist. Substation,206,750,0.703084061,5,ST187800775900
511017,Grd Mtd Dist. Substation,0,500,0.092646793,0,ST181000782000
511028,Grd Mtd Dist. Substation,280,500,0.248046066,5,ST188400769800
511029,Grd Mtd Dist. Substation,268,500,0.160297864,3,ST188200771500
511030,Grd Mtd Dist. Substation,299,500,0.283330836,5,ST187300772600
511032,Grd Mtd Dist. Substation,108,800,0.898029727,3,ST191800779200
511033,Grd Mtd Dist. Substation,292,1000,0.731561007,5,ST191000779300
511034,Grd Mtd Dist. Substation,345,1000,0.732522489,5,ST188900778300
511035,Grd Mtd Dist. Substation,272,500,0.172172559,3,ST188400783000
511079,Grd Mtd Dist. Substation,129,500,0.166731883,3,ST104500694400
511150,Grd Mtd Dist. Substation,16,200,0.923233325,2,ST209200764400
511151,Grd Mtd Dist. Substation,7,500,1,3,ST208300763500
511152,Grd Mtd Dist. Substation,19,500,1,5,ST208000764200
511188,Grd Mtd Dist. Substation,4,1000,0,4,ST204900759800
511191,Grd Mtd Dist. Substation,0,1000,1,1,ST204100757300
511196,Grd Mtd Dist. Substation,37,1000,0.990141677,4,ST202200758400
511198,Grd Mtd Dist. Substation,0,800,1,1,ST202000757500
511219,Grd Mtd Dist. Substation,168,300,0.16887386,3,ST199100771800
511220,Grd Mtd Dist. Substation,100,800,0.069311637,2,ST199000770200
511221,Grd Mtd Dist. Substation,216,300,0.255929408,4,ST198600771500
511222,Grd Mtd Dist. Substation,286,500,0.218464483,5,ST195600761000
511266,Grd Mtd Dist. Substation,22,800,1,3,ST210500756900
511269,Grd Mtd Dist. Substation,12,500,0.993246946,5,ST209000750300
511274,Grd Mtd Dist. Substation,190,800,0.380080456,4,ST206500765200
511275,Grd Mtd Dist. Substation,381,500,0.070424308,5,ST204400765600
511276,Grd Mtd Dist. Substation,213,300,0.155715626,4,ST204100771300
511277,Grd Mtd Dist. Substation,411,500,0.154756971,5,ST202000769800
511278,Grd Mtd Dist. Substation,263,500,0.221117193,4,ST200700763500
511279,Grd Mtd Dist. Substation,3,1000,0.439843763,5,ST200500766800
511281,Grd Mtd Dist. Substation,93,800,0.779831253,5,ST199000760200
511298,Grd Mtd Dist. Substation,145,300,0.107129215,5,ST173100762000
511300,Grd Mtd Dist. Substation,389,500,0.263117629,4,ST168600761100
511301,Grd Mtd Dist. Substation,276,500,0.085954775,5,ST166000761800
511302,Grd Mtd Dist. Substation,171,300,0.023976364,5,ST163800759500
511310,Grd Mtd Dist. Substation,348,380,0.362527733,5,ST176300761000
511311,Grd Mtd Dist. Substation,7,300,0.174339472,0,ST175000761800
511320,Grd Mtd Dist. Substation,204,300,0.061236857,7,ST182600748600
511321,Grd Mtd Dist. Substation,0,800,0.088716689,0,ST180700747700
511323,Grd Mtd Dist. Substation,3,1000,1,1,ST187500765800
511360,Grd Mtd Dist. Substation,0,500,1,1,ST188500761000
511361,Grd Mtd Dist. Substation,1,500,1,1,ST187500760800
511362,Grd Mtd Dist. Substation,106,1000,0.8841705,7,ST191600746600
511363,Grd Mtd Dist. Substation,22,1000,1,5,ST191500745100
511364,Grd Mtd Dist. Substation,139,1000,0.921527612,5,ST191000748600
511366,Grd Mtd Dist. Substation,87,1000,0.560435568,4,ST189400747100
511368,Grd Mtd Dist. Substation,41,1000,0.992199083,4,ST188900763600
511370,Grd Mtd Dist. Substation,19,800,1,4,ST187000766000
511371,Grd Mtd Dist. Substation,19,800,0,4,ST187000765900
511372,Grd Mtd Dist. Substation,37,800,0.998046065,4,ST187000765400
511374,Grd Mtd Dist. Substation,68,500,0.993092956,3,ST187300763000
512015,Grd Mtd Dist. Substation,135,500,0,3,ST221000812100
512016,Grd Mtd Dist. Substation,261,500,0.031298524,4,ST219800809000
512017,Grd Mtd Dist. Substation,231,500,0.010925655,6,ST219600812800
512018,Grd Mtd Dist. Substation,137,300,0.029743884,3,ST219400807000
512019,Grd Mtd Dist. Substation,61,300,0.143200704,3,ST217800810200
512020,Grd Mtd Dist. Substation,42,200,0.27049929,2,ST217000814800
512022,Grd Mtd Dist. Substation,211,300,0,4,ST216000812400
